CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Desc
12433.0,266,55,797099.9299999999,1,5,5,155,At Risk,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12434.0,223,1,6588.089999999999,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12437.0,18,14,111683.09,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12441.0,278,11,33991.74,1,3,2,132,At Risk,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12451.0,104,57,360861.89,3,5,5,355,Others,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12464.0,14,6,30980.760000000002,5,2,1,521,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12468.0,52,7,71180.76,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12471.0,16,70,652376.1,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12472.0,63,67,795803.8200000001,4,5,5,455,Loyal,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12474.0,61,27,130513.63,4,4,3,443,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12476.0,34,13,123715.20000000001,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12477.0,27,2,12947.060000000001,5,1,1,511,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12480.0,148,14,174006.84000000003,3,3,4,334,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12481.0,152,13,174809.18,3,3,4,334,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12483.0,167,6,61720.54000000001,2,2,2,222,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12484.0,150,35,410520.04,3,5,5,355,Others,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12489.0,151,6,59904.6,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12490.0,124,22,224592.44,3,4,4,344,Others,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12494.0,165,5,31574.379999999997,2,2,1,221,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12500.0,141,3,26730.9,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12501.0,42,71,637635.13,4,5,5,455,Loyal,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12502.0,16,21,220626.37999999998,5,4,4,544,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12503.0,158,1,3651.7,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12510.0,105,12,139138.23,3,3,4,334,Need Attention,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12515.0,172,4,79829.76000000001,2,1,3,213,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12523.0,132,3,25710.72,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12524.0,140,5,86926.28,3,2,3,323,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12527.0,108,6,55466.7,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12528.0,35,22,180406.98,5,4,4,544,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12530.0,152,8,47527.48,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12539.0,54,100,923653.73,4,5,5,455,Loyal,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12540.0,22,32,362795.58,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12551.0,189,9,29781.9,2,3,1,231,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12553.0,70,14,170711.4,4,3,4,434,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12557.0,137,4,38726.090000000004,3,1,2,312,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12559.0,21,11,138012.26,5,3,4,534,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12567.0,11,71,791791.0299999999,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12574.0,46,5,73881.28,4,2,3,423,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12577.0,203,33,356541.84,2,5,5,255,At Risk,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12578.0,57,40,327327.92,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12583.0,152,15,218921.12,3,3,4,334,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12585.0,161,26,326833.36,3,4,5,345,Others,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12586.0,303,1,4642.34,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12591.0,60,21,115377.08,4,4,3,443,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12594.0,93,5,53737.92,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12600.0,16,8,90606.01999999999,5,2,3,523,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12601.0,137,4,61671.42,3,1,2,312,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12605.0,257,2,17264.760000000002,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12609.0,66,4,108344.8,4,1,3,413,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12621.0,188,20,107606.45,2,4,3,243,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12625.0,16,24,261287.05000000002,5,4,5,545,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12626.0,28,34,281763.13,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12637.0,57,26,287825.58,4,4,5,445,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12643.0,136,1,10393.28,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12645.0,52,8,94907.68,4,2,3,423,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12647.0,189,28,240046.41999999998,2,4,4,244,At Risk,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12649.0,258,1,10953.16,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12651.0,145,7,47572.11,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12652.0,88,26,233303.9,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12662.0,13,16,263581.94,5,4,5,545,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12664.0,91,5,19495.25,4,2,1,421,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12665.0,104,2,14391.630000000001,3,1,1,311,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12666.0,206,2,12880.2,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12668.0,32,38,294776.33999999997,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12672.0,124,3,52230.8,3,1,2,312,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12673.0,114,11,97731.83,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12676.0,22,10,94766.4,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12678.0,173,3,17117.0,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12681.0,29,88,980309.25,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12682.0,21,68,673578.5599999999,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12683.0,93,38,395209.2,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12686.0,335,6,14560.980000000003,1,2,1,121,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12691.0,66,8,59677.909999999996,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12693.0,79,4,50529.15,4,1,2,412,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12705.0,187,13,96295.20000000001,2,3,3,233,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12708.0,124,21,156319.44,3,4,4,344,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12709.0,54,16,162159.82,4,4,4,444,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12712.0,11,27,220853.17,5,4,4,544,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12720.0,35,26,321364.86,5,4,5,545,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12721.0,179,10,83848.8,2,3,3,233,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12724.0,133,7,44309.1,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12725.0,326,14,126219.18000000001,1,3,3,133,At Risk,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12726.0,45,16,145216.54,4,4,4,444,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12727.0,82,8,59411.16,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12728.0,135,7,78969.28,3,2,3,323,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12731.0,35,38,350110.6,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12734.0,172,2,19957.440000000002,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12735.0,42,18,177035.69,4,4,4,444,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12736.0,138,1,20771.2,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12738.0,336,8,18500.460000000003,1,2,1,121,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12744.0,69,34,321787.72,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12747.0,95,10,108716.49,4,3,3,433,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12748.0,108,328,3241904.71,3,5,5,355,Others,7,"Champions-C – 5 müşteri (Ø R=30g, F=289.4, M=2,793,603)"
12753.0,153,20,209096.96000000002,3,4,4,344,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12754.0,11,17,281671.01,5,4,5,545,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12755.0,264,1,4631.25,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12763.0,305,8,90353.8,1,2,3,123,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12764.0,56,28,272097.0,4,4,5,445,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12766.0,143,28,451006.36,3,4,5,345,Others,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12775.0,14,7,79226.26,5,2,3,523,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12778.0,31,3,48222.9,5,1,2,512,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12779.0,8,15,218201.73,5,3,4,534,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12782.0,65,32,273991.85,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12785.0,246,8,67195.23999999999,2,2,2,222,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12791.0,363,2,12152.76,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12793.0,145,11,124671.32,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12797.0,213,7,68696.09,2,2,2,222,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12808.0,303,5,32496.38,1,2,1,121,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12820.0,112,5,51523.89,3,2,2,322,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12826.0,54,31,256225.72,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12829.0,90,6,31052.989999999998,4,2,1,421,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12836.0,26,19,219957.27,5,4,4,544,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12838.0,361,28,504762.69999999995,1,4,5,145,At Risk,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12839.0,186,23,131964.58,2,4,3,243,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12841.0,35,49,496880.39,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
12842.0,9,9,93795.66,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12853.0,29,12,155820.71,5,3,4,534,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12854.0,69,23,208924.94,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12855.0,349,3,10253.19,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12865.0,210,1,6702.1,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12867.0,213,24,117893.84,2,4,3,243,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12868.0,50,19,285854.16,4,4,5,445,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12870.0,270,1,9614.5,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12872.0,116,31,348245.27999999997,3,5,5,355,Others,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12875.0,240,1,5100.889999999999,2,1,1,211,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12877.0,123,11,81768.19,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12908.0,33,1,15113.86,5,1,1,511,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12913.0,289,2,10638.28,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12915.0,344,7,26646.49,1,2,1,121,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12916.0,87,19,194854.0,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12921.0,165,30,302672.62999999995,2,5,5,255,At Risk,2,"At Risk – 105 müşteri (Ø R=241g, F=32.4, M=310,802)"
12924.0,118,1,7402.18,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12928.0,204,8,75281.44,2,2,3,223,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12929.0,26,5,43660.64,5,2,2,522,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12931.0,186,2,6608.26,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12935.0,77,2,100402.2,4,1,3,413,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12939.0,146,2,26920.800000000003,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12942.0,265,7,60877.6,1,2,2,122,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12944.0,179,7,63049.22,2,2,2,222,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12947.0,66,25,151835.08,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12951.0,81,6,88362.7,4,2,3,423,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12956.0,1,14,115116.25,5,3,3,533,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12957.0,153,13,100884.14,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12963.0,265,6,70247.37999999999,1,2,2,122,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
12967.0,192,10,54268.41,2,3,2,232,At Risk,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12970.0,89,2,43291.119999999995,4,1,2,412,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12971.0,13,31,196982.78,5,5,4,554,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
12980.0,131,4,27615.93,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12989.0,118,2,10750.220000000001,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
12990.0,18,2,22302.93,5,1,1,511,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
12997.0,41,7,73366.05,5,2,3,523,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13000.0,252,8,56656.82,1,2,2,122,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13001.0,66,23,179061.44,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
13002.0,66,5,47400.85,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13004.0,52,37,403115.57,4,5,5,455,Loyal,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
13008.0,95,8,63506.7,4,2,2,422,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13011.0,336,3,5045.58,1,1,1,111,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13013.0,332,28,187037.87,1,4,4,144,At Risk,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13021.0,202,6,34067.590000000004,2,2,2,222,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13027.0,178,4,25496.699999999997,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13029.0,173,1,3423.4,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13030.0,292,16,221050.80000000002,1,4,4,144,At Risk,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13033.0,188,5,23640.539999999997,2,2,1,221,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13034.0,307,4,63988.98,1,1,2,112,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13047.0,14,26,254107.58,5,4,5,545,Potential,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
13048.0,117,17,151703.2,3,4,4,344,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13049.0,66,3,47400.85,4,1,2,412,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13050.0,5,60,498015.08999999997,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
13064.0,117,1,34133.22,3,1,2,312,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13065.0,350,7,86214.82,1,2,3,123,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13068.0,82,1,4950.93,4,1,1,411,Others,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13069.0,4,68,818098.75,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
13077.0,269,4,73072.44,1,1,3,113,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13078.0,52,24,212340.02,4,4,4,444,Promising,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
13081.0,123,117,880390.0,3,5,5,355,Others,4,"Champions-B – 10 müşteri (Ø R=80g, F=134.4, M=1,330,934)"
13082.0,161,6,23450.98,3,2,1,321,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13089.0,21,176,1632673.29,5,5,5,555,Champions,4,"Champions-B – 10 müşteri (Ø R=80g, F=134.4, M=1,330,934)"
13090.0,93,9,71704.22,4,3,2,432,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13092.0,208,4,36359.119999999995,2,1,2,212,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13093.0,20,65,608310.93,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
13094.0,154,4,19575.41,3,1,1,311,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13097.0,159,18,178237.54,3,4,4,344,Others,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13098.0,59,14,77334.93000000001,4,3,3,433,Promising,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13102.0,8,54,459465.51,5,5,5,555,Champions,3,"Champions-A – 72 müşteri (Ø R=71g, F=65.8, M=652,782)"
13104.0,179,1,4663.67,2,1,1,211,Hibernating,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13107.0,119,10,122693.34,3,3,3,333,Need Attention,5,"Others – 419 müşteri (Ø R=166g, F=7.9, M=69,619)"
13108.0,348,3,43125.0,1,1,2,112,Hibernating,1,"Hibernating – 270 müşteri (Ø R=299g, F=7.5, M=62,373)"
13110.0,22,8,157944.0,5,2,4,524,Recent,0,"Recent – 365 müşteri (Ø R=49g, F=9.5, M=89,151)"
13113.0,8,29,307047.41,5,5,5,555,Champions,6,"Loyal – 222 müşteri (Ø R=62g, F=31.2, M=290,770)"
